id,entity_type,entity_subtype,title,research_interests,label,parent,degree,pagerank,community,community_color,display
Aaditya Ramdas,faculty,core,"Assistant Professor, Statistics & Machine Learning, Dietrich College of Humanities and Social Sciences & School of Computer Science","Multiple Hypothesis Testing, Sequential Estimation, Interactive Statistics, Nonparametric Inference",Aaditya Ramdas,core,1,0.003710518523832521,1,#e31a1c,element
Aarti Singh,faculty,core,"Associate Professor, Machine Learning, School of Computer Science",,Aarti Singh,core,14,0.037036638820948306,1,#e31a1c,element
Barnabás Póczos,faculty,core,"(ON LEAVE) Associate Professor Machine Learning, School of Computer Science","Machine Learning in Scientific Applications, Optimization, Statistical Machine Learning",Barnabás Póczos,core,14,0.036095670057314275,1,#e31a1c,element
Eric Xing,faculty,core,"Professor, Machine Learning & Language Technologies Institute & Computational Biology/Associate Head for Research, Machine Learning, School of Computer Science",,Eric Xing,core,18,0.04282301670369788,1,#e31a1c,element
Jeff Schneider,faculty,core,"Research Professor, Robotics Institute, School of Computer Science","Bayesian Optimization, Reinforcement Learning, Self-driving Cars",Jeff Schneider,core,13,0.025462527203539753,1,#e31a1c,element
Larry Wasserman,faculty,core,"UPMC Professor, Statistics & Machine Learning, Dietrich College of Humanities and Social Sciences & School of Computer Science","Nonparametric Inference, Statistical Learning",Larry Wasserman,core,8,0.026477560873466952,1,#e31a1c,element
Manuela Veloso,faculty,core,"(ON LEAVE) Herbert A. Simon University Professor, Computer Science & Machine Learning, School of Computer Science","AI Planning and Learning, Multiagent Systems",Manuela Veloso,core,16,0.03707269849293797,1,#e31a1c,element
Michael Tarr,faculty,related,"Professor & Department Head, Psychology, Dietrich College of Humanities and Social Sciences",,Michael Tarr,related,3,0.008042525803655769,1,#e31a1c,element
Nihar Shah,faculty,core,"Assistant Professor, Machine Learning & Computer Science, School of Computer Science","Fairness, Game Theory, Learning Theory",Nihar Shah,core,4,0.0072349431262817045,1,#e31a1c,element
Robert Kass,faculty,core,"Professor, Center for the Neural Basis of Cognition & Statistics & Machine Learning, Dietrich College of Humanities and Social Sciences & School of Computer Science","ML in the Brain Sciences, Statistics in Neuroscience",Robert Kass,core,4,0.01270810343736457,1,#e31a1c,element
Roni Rosenfeld,faculty,core,"Department Head, Machine Learning Department/Professor, Machine Learning, Language Technologies Institute, Computer Science, Computational Biology, School of Computer Science",Forecasting Epidemics,Roni Rosenfeld,core,28,0.11450837446990361,1,#e31a1c,element
Ruslan Salakhutdinov,faculty,core,"UPMC Professor, Machine Learning, School of Computer Science",,Ruslan Salakhutdinov,core,15,0.047243460620465,1,#e31a1c,element
Ryan Tibshirani,faculty,core,"Associate Department Head for Faculty and Climate, Machine Learning/Associate Professor, Statistics & Machine Learning, Dietrich College of Humanities and Social Sciences & School of Computer Science","Convex Optimization, Forecasting Epidemics, High-dimensional Statistics, Nonparametric Statistics",Ryan Tibshirani,core,10,0.02455025395402635,1,#e31a1c,element
Sivaraman Balakrishnan,faculty,affiliated,"Assistant Professor, Statistics, Dietrich College of Humanities and Social Sciences",,Sivaraman Balakrishnan,affiliated,7,0.013219106154127469,1,#e31a1c,element
Tom Mitchell,faculty,core,"Founders University Professor/Director of ML PhD Programs, Computer Science & Machine Learning, School of Computer Science","Conversational Machine Learning, Deep Learning Models of Human Neural Activity",Tom Mitchell,core,30,0.0976081599749851,1,#e31a1c,element
Abhinav Gupta,faculty,affiliated,"Associate Professor, Robotics Institute, School of Computer Science",,Abhinav Gupta,affiliated,2,0.004640477958009349,1,#e31a1c,element
Alex Hauptmann,faculty,related,"Research Professor, Language Technologies Institute, School of Computer Science",,Alex Hauptmann,related,3,0.006542707076544574,1,#e31a1c,element
Ding Zhao,faculty,related,"Assistant Professor, Mechanical Engineering Department",,Ding Zhao,related,3,0.006542707076544573,1,#e31a1c,element
Alex Smola,faculty,unknown,,,Alex Smola,unknown,1,0.00584359428383058,1,#e31a1c,element
Katerina Fragkiadaki,faculty,core,"Assistant Professor/Director of ML Master's Programs, Machine Learning, School of Computer Science","Active Vision, Computer Vision",Katerina Fragkiadaki,core,3,0.011497123623725996,1,#e31a1c,element
Alexandra Chouldechova,faculty,unknown,,,Alexandra Chouldechova,unknown,3,0.010003337280267819,1,#e31a1c,element
Edward Kennedy,faculty,unknown,,,Edward Kennedy,unknown,2,0.006446262626639353,1,#e31a1c,element
Zachary Lipton,faculty,core,Assistant Professor of Business Technologies and Machine Learning,"Machine Learning for Healthcare, Robustness under distribution shift, Ethics of Technology, Deep Learning",Zachary Lipton,core,4,0.017199832358271203,1,#e31a1c,element
Ameet Talwalkar,faculty,core,"Assistant Professor, Machine Learning, School of Computer Science","Explainable ML, Auto ML, Meta Learning, Fairness, Parallel and Distributed Machine Learning, Systems and Machine Learning",Ameet Talwalkar,core,7,0.013688203686653752,1,#e31a1c,element
Maria-Florina Balcan,faculty,core,"Professor, Computer Science & Machine Learning, School of Computer Science","Foundations of Machine Learning, Data Driven Algorithm Design, Computational and Data-driven approaches in game theory and economics, Interactive Learning, Lifelong Learning",Maria-Florina Balcan,core,6,0.011777594466539351,1,#e31a1c,element
Zico Kolter,faculty,affiliated,"Assistant Professor, Computer Science, School of Computer Science",,Zico Kolter,affiliated,2,0.007693854635293694,1,#e31a1c,element
Andrej Risteski,faculty,core,"Assistant Professor, Machine Learning, School of Computer Science","Machine Learning Theory, Theory of Unsupervised Learning, Theory of Deep Learning",Andrej Risteski,core,2,0.007526367968435247,1,#e31a1c,element
