source,target,other,weight,relationship,community,community_color
 Ifigeneia Apostolopoulou,Cristian Challu,0,2,Co-Advised,8,#F6F926
 Ifigeneia Apostolopoulou,Eric Lei,0,2,Co-Advised,8,#F6F926
 Ifigeneia Apostolopoulou,Kin Gutierrez Olivares,0,2,Co-Advised,8,#F6F926
 Ifigeneia Apostolopoulou,Madalina Fiterau-Brostean,0,2,Co-Advised,8,#F6F926
 Ifigeneia Apostolopoulou,Maria De Arteaga Gonzalez,0,2,Co-Advised,8,#F6F926
 Ifigeneia Apostolopoulou,Sebastian Caldas,0,2,Co-Advised,8,#F6F926
 Ifigeneia Apostolopoulou,Yichong Xu,0,2,Co-Advised,8,#F6F926
Cristian Challu,Eric Lei,0,2,Co-Advised,8,#F6F926
Cristian Challu,Kin Gutierrez Olivares,0,2,Co-Advised,8,#F6F926
Cristian Challu,Madalina Fiterau-Brostean,0,2,Co-Advised,8,#F6F926
Cristian Challu,Maria De Arteaga Gonzalez,0,2,Co-Advised,8,#F6F926
Cristian Challu,Sebastian Caldas,0,2,Co-Advised,8,#F6F926
Cristian Challu,Yichong Xu,0,2,Co-Advised,8,#F6F926
Eric Lei,Kin Gutierrez Olivares,0,2,Co-Advised,8,#F6F926
Eric Lei,Madalina Fiterau-Brostean,0,2,Co-Advised,8,#F6F926
Eric Lei,Maria De Arteaga Gonzalez,0,2,Co-Advised,8,#F6F926
Eric Lei,Sebastian Caldas,0,2,Co-Advised,8,#F6F926
Eric Lei,Yichong Xu,0,2,Co-Advised,8,#F6F926
Kin Gutierrez Olivares,Madalina Fiterau-Brostean,0,2,Co-Advised,8,#F6F926
Kin Gutierrez Olivares,Maria De Arteaga Gonzalez,0,2,Co-Advised,8,#F6F926
Kin Gutierrez Olivares,Sebastian Caldas,0,2,Co-Advised,8,#F6F926
Kin Gutierrez Olivares,Yichong Xu,0,2,Co-Advised,8,#F6F926
Madalina Fiterau-Brostean,Maria De Arteaga Gonzalez,0,2,Co-Advised,8,#F6F926
Madalina Fiterau-Brostean,Sebastian Caldas,0,2,Co-Advised,8,#F6F926
Madalina Fiterau-Brostean,Yichong Xu,0,2,Co-Advised,8,#F6F926
Maria De Arteaga Gonzalez,Amanda Coston,0,2,Co-Advised,0,grey
Maria De Arteaga Gonzalez,Nil-Jana Akpinar,0,2,Co-Advised,0,grey
Maria De Arteaga Gonzalez,Sebastian Caldas,0,2,Co-Advised,8,#F6F926
Maria De Arteaga Gonzalez,Yichong Xu,0,2,Co-Advised,8,#F6F926
Sebastian Caldas,Yichong Xu,0,2,Co-Advised,8,#F6F926
Yichong Xu,Aaditya Ramdas,0,2,Co-Advised,0,grey
Yichong Xu,Ivan Stelmakh,0,2,Co-Advised,0,grey
Yichong Xu,James Sharpnack,0,2,Co-Advised,0,grey
Yichong Xu,Ojash Neopane,0,2,Co-Advised,0,grey
Yichong Xu,Simon Du,0,2,Co-Advised,0,grey
Yichong Xu,Stefani Karp,0,2,Co-Advised,0,grey
Yichong Xu,Yining Wang,0,2,Co-Advised,0,grey
Yichong Xu,Yusha Liu,0,2,Co-Advised,0,grey
Aaditya Ramdas,Collin Politsch,0,2,Co-Advised,0,grey
Aaditya Ramdas,Han Liu,0,2,Co-Advised,0,grey
Aaditya Ramdas,Ivan Stelmakh,0,2,Co-Advised,6,#FE00CE
Aaditya Ramdas,James Sharpnack,0,2,Co-Advised,6,#FE00CE
Aaditya Ramdas,Jisu Kim,0,2,Co-Advised,0,grey
Aaditya Ramdas,Kwhangho Kim,0,2,Co-Advised,0,grey
Aaditya Ramdas,Ojash Neopane,0,2,Co-Advised,6,#FE00CE
Aaditya Ramdas,Simon Du,0,2,Co-Advised,0,grey
Aaditya Ramdas,Stefani Karp,0,2,Co-Advised,6,#FE00CE
Aaditya Ramdas,Yining Wang,0,2,Co-Advised,6,#FE00CE
Aaditya Ramdas,Yusha Liu,0,2,Co-Advised,6,#FE00CE
Collin Politsch,Han Liu,0,2,Co-Advised,15,#00B5F7
Collin Politsch,Jisu Kim,0,2,Co-Advised,15,#00B5F7
Collin Politsch,Kwhangho Kim,0,2,Co-Advised,15,#00B5F7
Han Liu,Aryeh Kontorovich,0,2,Co-Advised,0,grey
Han Liu,Jisu Kim,0,2,Co-Advised,15,#00B5F7
Han Liu,Kwhangho Kim,0,2,Co-Advised,15,#00B5F7
Han Liu,Min Xu,0,2,Co-Advised,0,grey
Ivan Stelmakh,Charvi Rastogi,0,2,Co-Advised,6,#FE00CE
Ivan Stelmakh,James Sharpnack,0,2,Co-Advised,6,#FE00CE
Ivan Stelmakh,Ojash Neopane,0,2,Co-Advised,6,#FE00CE
Ivan Stelmakh,Simon Du,0,2,Co-Advised,0,grey
Ivan Stelmakh,Stefani Karp,0,2,Co-Advised,6,#FE00CE
Ivan Stelmakh,Yining Wang,0,2,Co-Advised,6,#FE00CE
Ivan Stelmakh,Yusha Liu,0,2,Co-Advised,6,#FE00CE
James Sharpnack,Jisu Kim,0,2,Co-Advised,0,grey
James Sharpnack,Ojash Neopane,0,2,Co-Advised,6,#FE00CE
James Sharpnack,Simon Du,0,2,Co-Advised,0,grey
James Sharpnack,Stefani Karp,0,2,Co-Advised,6,#FE00CE
James Sharpnack,Yining Wang,0,2,Co-Advised,6,#FE00CE
James Sharpnack,Yusha Liu,0,2,Co-Advised,6,#FE00CE
Jisu Kim,Kwhangho Kim,0,2,Co-Advised,15,#00B5F7
Kwhangho Kim,Amanda Coston,0,2,Co-Advised,0,grey
Ojash Neopane,Chirag Gupta,0,2,Co-Advised,6,#FE00CE
Ojash Neopane,Simon Du,0,2,Co-Advised,0,grey
Ojash Neopane,Stefani Karp,0,2,Co-Advised,6,#FE00CE
Ojash Neopane,Yining Wang,0,2,Co-Advised,6,#FE00CE
Ojash Neopane,Yusha Liu,0,2,Co-Advised,6,#FE00CE
Simon Du,Biswajit Paria,0,2,Co-Advised,1,#E48F72
Simon Du,Chenghui Zhou,0,2,Co-Advised,1,#E48F72
Simon Du,Chun-Liang Li,0,2,Co-Advised,1,#E48F72
Simon Du,Junier Oliva,0,2,Co-Advised,1,#E48F72
Simon Du,Kirthevasan Kandasamy,0,2,Co-Advised,1,#E48F72
Simon Du,Manzil Zaheer,0,2,Co-Advised,1,#E48F72
Simon Du,Otilia Stretcu,0,2,Co-Advised,1,#E48F72
Simon Du,Sashank Jakkam Reddi,0,2,Co-Advised,1,#E48F72
Simon Du,Shashank Singh,0,2,Co-Advised,1,#E48F72
Simon Du,Stefani Karp,0,2,Co-Advised,0,grey
Simon Du,Yining Wang,0,2,Co-Advised,0,grey
Simon Du,Yusha Liu,0,2,Co-Advised,0,grey
Stefani Karp,Yining Wang,0,2,Co-Advised,6,#FE00CE
Stefani Karp,Yusha Liu,0,2,Co-Advised,6,#FE00CE
Yining Wang,Yusha Liu,0,2,Co-Advised,6,#FE00CE
Aaron Rumack,Amanda Coston,0,2,Co-Advised,0,"rgb(1,1,1)"
Amanda Coston,Nil-Jana Akpinar,0,2,Co-Advised,0,grey
Abulhair Saparov,Alona Fyshe,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Andy Carlson,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Anthony Platanios,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Edith Law,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Leila Wehbe,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Mariya Toneva,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Nicole Rafidi,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Otilia Stretcu,0,2,Co-Advised,0,grey
Abulhair Saparov,Shashank Srivastava,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Tara Pirnia,0,2,Co-Advised,3,#00FE35
Abulhair Saparov,Théophile Gervet,0,2,Co-Advised,0,grey
Alona Fyshe,Andy Carlson,0,2,Co-Advised,3,#00FE35
Alona Fyshe,Anthony Platanios,0,2,Co-Advised,3,#00FE35
Alona Fyshe,Edith Law,0,2,Co-Advised,3,#00FE35
Alona Fyshe,Leila Wehbe,0,2,Co-Advised,3,#00FE35
Alona Fyshe,Mariya Toneva,0,2,Co-Advised,3,#00FE35
Alona Fyshe,Nicole Rafidi,0,2,Co-Advised,3,#00FE35
Alona Fyshe,Otilia Stretcu,0,2,Co-Advised,0,grey
Alona Fyshe,Shashank Srivastava,0,2,Co-Advised,3,#00FE35
Alona Fyshe,Tara Pirnia,0,2,Co-Advised,3,#00FE35
Alona Fyshe,Théophile Gervet,0,2,Co-Advised,0,grey
Andy Carlson,Anthony Platanios,0,2,Co-Advised,3,#00FE35
Andy Carlson,Edith Law,0,2,Co-Advised,3,#00FE35
Andy Carlson,Leila Wehbe,0,2,Co-Advised,3,#00FE35
Andy Carlson,Mariya Toneva,0,2,Co-Advised,3,#00FE35
Andy Carlson,Nicole Rafidi,0,2,Co-Advised,3,#00FE35
Andy Carlson,Otilia Stretcu,0,2,Co-Advised,0,grey
Andy Carlson,Shashank Srivastava,0,2,Co-Advised,3,#00FE35
Andy Carlson,Tara Pirnia,0,2,Co-Advised,3,#00FE35
Andy Carlson,Théophile Gervet,0,2,Co-Advised,0,grey
Anthony Platanios,Edith Law,0,2,Co-Advised,3,#00FE35
Anthony Platanios,Leila Wehbe,0,2,Co-Advised,3,#00FE35
Anthony Platanios,Mariya Toneva,0,2,Co-Advised,3,#00FE35
Anthony Platanios,Nicole Rafidi,0,2,Co-Advised,3,#00FE35
Anthony Platanios,Otilia Stretcu,0,2,Co-Advised,0,grey
Anthony Platanios,Shashank Srivastava,0,2,Co-Advised,3,#00FE35
Anthony Platanios,Tara Pirnia,0,2,Co-Advised,3,#00FE35
Anthony Platanios,Théophile Gervet,0,2,Co-Advised,0,grey
Edith Law,Leila Wehbe,0,2,Co-Advised,3,#00FE35
